epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.133,0.71413,2.7747,1.04256,0.00386,0.91667,0.42979,0.37714,0.56232,3.08953,0.84784,0.00018,0.00018,0.00018
2,131.605,0.58414,1.46899,0.91199,0.74423,0.66667,0.73917,0.63478,0.54043,2.84808,0.80165,0.000369251,0.000369251,0.000369251
3,194.943,0.57732,1.20483,0.93339,1,0.25128,0.72078,0.63014,0.61579,2.7674,0.8327,0.000547189,0.000547189,0.000547189
4,255.627,0.55778,1.12107,0.91085,0.86943,0.55548,0.60061,0.47203,0.67374,2.60653,0.88249,0.000713811,0.000713811,0.000713811
5,318.025,0.5888,1.09497,0.93004,0.96552,0.41667,0.58476,0.46862,0.8012,2.75056,0.99926,0.00086912,0.00086912,0.00086912
6,377.83,0.56953,1.17922,0.91759,0.77464,0.57332,0.54844,0.40816,0.87311,2.40248,1.10054,0.00101311,0.00101311,0.00101311
7,435.909,0.59408,1.03297,0.9393,1,0.53594,0.69477,0.53723,0.80712,1.923,1.0913,0.00114579,0.00114579,0.00114579
8,494.398,0.61378,1.18855,0.96387,0.80367,0.20833,0.27722,0.21776,0.90302,2.84166,1.07605,0.00126716,0.00126716,0.00126716
9,551.674,0.55431,0.99368,0.92558,0.79933,0.49804,0.63933,0.48965,0.80042,2.18892,1.05095,0.00137721,0.00137721,0.00137721
10,612.092,0.59459,0.98633,0.9335,0.35019,0.375,0.34043,0.25549,0.8809,2.8069,1.02673,0.00147595,0.00147595,0.00147595
11,671.712,0.56856,0.92637,0.92987,0.27341,0.41667,0.26987,0.20292,0.96896,2.82763,1.11844,0.00143429,0.00143429,0.00143429
12,729.794,0.62328,0.90841,0.93869,0.32839,0.40771,0.23713,0.18929,0.89288,2.83816,1.10068,0.00137771,0.00137771,0.00137771
13,790.16,0.53981,0.84949,0.91766,0.93647,0.61468,0.74193,0.60394,0.74053,1.575,0.91441,0.00132114,0.00132114,0.00132114
14,852.613,0.60018,0.92663,0.92837,0.87762,0.70833,0.80739,0.56342,0.98801,1.56625,1.18526,0.00126457,0.00126457,0.00126457
15,913.702,0.65447,0.88605,0.99368,0.83086,0.81912,0.81687,0.66198,0.72471,1.20188,0.91398,0.001208,0.001208,0.001208
16,976.858,0.52745,0.80392,0.91746,0.91995,0.66667,0.77922,0.62446,0.72438,1.34121,0.92968,0.00115143,0.00115143,0.00115143
17,1039.8,0.5532,0.74999,0.9295,0.90871,0.82969,0.88948,0.73452,0.69154,1.08651,0.89944,0.00109486,0.00109486,0.00109486
18,1099.66,0.55893,0.80495,0.92922,0.84482,0.90763,0.92571,0.68798,0.65674,1.03805,0.87927,0.00103829,0.00103829,0.00103829
19,1157.81,0.5835,0.79253,0.91614,0.87899,0.90822,0.91061,0.75052,0.58912,1.00673,0.84323,0.000981714,0.000981714,0.000981714
20,1217.37,0.52272,0.72548,0.89434,0.93737,0.91667,0.92645,0.81542,0.52779,0.85808,0.82219,0.000925143,0.000925143,0.000925143
21,1275.77,0.49228,0.70844,0.89673,0.91642,0.91378,0.96361,0.82356,0.53248,0.80429,0.82226,0.000868571,0.000868571,0.000868571
22,1334.57,0.46245,0.63995,0.8958,0.88805,0.99184,0.97141,0.83487,0.5201,0.73317,0.81853,0.000812,0.000812,0.000812
23,1398.49,0.44692,0.64344,0.90689,0.89006,0.91667,0.93878,0.82131,0.51524,0.76505,0.81025,0.000755429,0.000755429,0.000755429
24,1468.04,0.4594,0.63644,0.88763,0.91995,0.95833,0.9382,0.8303,0.46787,0.71262,0.80114,0.000698857,0.000698857,0.000698857
25,1535.6,0.43743,0.61318,0.88451,0.95414,0.95833,0.93161,0.85494,0.43977,0.69379,0.78546,0.000642286,0.000642286,0.000642286
26,1602.93,0.48541,0.76882,0.93198,0.91976,0.95529,0.94494,0.84173,0.45442,0.74193,0.78138,0.000585714,0.000585714,0.000585714
27,1666.4,0.44092,0.76049,0.88207,0.93907,0.95833,0.95242,0.85951,0.40821,0.74692,0.76474,0.000529143,0.000529143,0.000529143
28,1732.42,0.38003,0.69557,0.86961,0.88023,0.95833,0.93355,0.85627,0.39006,0.66333,0.77258,0.000472571,0.000472571,0.000472571
29,1790.48,0.34624,0.59843,0.82818,0.88818,0.99308,0.95089,0.85872,0.40178,0.63303,0.77748,0.000416,0.000416,0.000416
30,1847.86,0.33077,0.5896,0.83691,0.91951,0.95225,0.97056,0.87932,0.41155,0.61089,0.76784,0.000359429,0.000359429,0.000359429
31,1904.98,0.33692,0.60394,0.82229,0.91982,0.95607,0.96435,0.85873,0.42035,0.61927,0.77275,0.000302857,0.000302857,0.000302857
32,1965.13,0.33315,0.58239,0.83513,0.91872,0.95833,0.95467,0.85511,0.41631,0.61876,0.78466,0.000246286,0.000246286,0.000246286
33,2023.79,0.33458,0.57397,0.82142,0.91658,0.95833,0.95425,0.841,0.42352,0.61144,0.79365,0.000189714,0.000189714,0.000189714
34,2081.37,0.29143,0.52696,0.83392,0.9149,0.95833,0.95243,0.84321,0.41521,0.59671,0.79674,0.000133143,0.000133143,0.000133143
35,2139.95,0.30238,0.52748,0.83591,0.9153,0.95833,0.95522,0.84859,0.41199,0.59331,0.79451,7.65714e-05,7.65714e-05,7.65714e-05
